comparison,comparison_label,metric,left_condition,right_condition,n_proposals,left_mean_ai_metric,right_mean_ai_metric,mean_difference_left_minus_right,median_difference_left_minus_right,wilcoxon_statistic,p_value
claude,Claude,nn,baseline,one_at_a_time,23,0.056445783851803225,0.02437231860299041,0.032073465248812806,0.03250019848346711,0.0,2.384185791015625e-07
claude,Claude,nn,baseline,persona,23,0.056445783851803225,0.02652925827364991,0.02991652557815331,0.029684302210807798,0.0,2.384185791015625e-07
claude,Claude,nn,one_at_a_time,persona,23,0.02437231860299041,0.02652925827364991,-0.0021569396706594937,-0.002385777235031125,40.0,0.0018849372863769531
claude,Claude,remote_clique,baseline,one_at_a_time,23,0.06783718466758729,0.029509369705034344,0.03832781496255294,0.039816385507583624,0.0,2.384185791015625e-07
claude,Claude,remote_clique,baseline,persona,23,0.06783718466758729,0.03061172858528469,0.0372254560823026,0.03931261301040648,0.0,2.384185791015625e-07
claude,Claude,remote_clique,one_at_a_time,persona,23,0.029509369705034344,0.03061172858528469,-0.0011023588802503506,-0.001003050804138185,94.0,0.18954229354858398
claude,Claude,span90,baseline,one_at_a_time,23,0.02997573018202038,0.013047703436112938,0.016928026745907442,0.017462278381313312,0.0,2.384185791015625e-07
claude,Claude,span90,baseline,persona,23,0.02997573018202038,0.012985972627727351,0.016989757554293026,0.01761732929885583,0.0,2.384185791015625e-07
claude,Claude,span90,one_at_a_time,persona,23,0.013047703436112938,0.012985972627727351,6.173080838558838e-05,-0.00023698372328909492,134.0,0.9168474674224854
claude,Claude,sparseness,baseline,one_at_a_time,23,0.024655619831746047,0.01072608915941993,0.013929530672326112,0.014951142540498893,0.0,2.384185791015625e-07
claude,Claude,sparseness,baseline,persona,23,0.024655619831746047,0.011080190894713416,0.013575428937032629,0.013928146539881059,0.0,2.384185791015625e-07
claude,Claude,sparseness,one_at_a_time,persona,23,0.01072608915941993,0.011080190894713416,-0.000354101735293485,-0.0003804866153950745,96.0,0.21117830276489258
gemini,Gemini,centroid_loo,baseline,one_at_a_time,23,0.04375828815831478,0.022546258543922337,0.021212029614392454,0.021058089371020668,0.0,2.384185791015625e-07
gemini,Gemini,centroid_loo,baseline,persona,23,0.04375828815831478,0.022592628009504345,0.021165660148810446,0.021553391863522328,0.0,2.384185791015625e-07
gemini,Gemini,centroid_loo,one_at_a_time,persona,23,0.022546258543922337,0.022592628009504345,-4.636946558200643e-05,2.526683486338971e-05,138.0,1.0
gemini,Gemini,global_centroid_dist,baseline,one_at_a_time,23,0.02228241517174567,0.01155938231368437,0.010723032858061296,0.011156643518498991,0.0,2.384185791015625e-07
gemini,Gemini,global_centroid_dist,baseline,persona,23,0.02228241517174567,0.011648640556416278,0.010633774615329387,0.010845719743687721,0.0,2.384185791015625e-07
gemini,Gemini,global_centroid_dist,one_at_a_time,persona,23,0.01155938231368437,0.011648640556416278,-8.925824273190675e-05,1.585403227646366e-05,136.0,0.9643125534057617
gemini,Gemini,mean_pairwise,baseline,one_at_a_time,23,0.061390835824220086,0.03193820041158925,0.02945263541263083,0.029998517036437994,0.0,2.384185791015625e-07
gemini,Gemini,mean_pairwise,baseline,persona,23,0.061390835824220086,0.03209297864333443,0.02929785718088565,0.03069114089012146,0.0,2.384185791015625e-07
