proposal_uid,mesh_term
y1::6,Multiple Sclerosis
y1::6,Multiprotein Complexes
y1::6,Myrtaceae
y1::6,NAV1.6 Voltage-Gated Sodium Channel
y1::6,Neoplasms
y1::6,Nonlinear Dynamics
y1::6,Osteoporosis
y1::6,Pandemics
y1::6,Phage Therapy
y1::6,Protein Binding
y1::6,Protein Interaction Maps
y1::6,Protein Serine-Threonine Kinases
y1::6,RNA
y1::6,RNA Splicing
y1::6,"Receptors, Antigen, T-Cell"
y1::6,Research
y1::6,SARS-CoV-2
y1::6,Sewage
y1::6,Signal Transduction
y1::6,Signal-To-Noise Ratio
y1::6,Single-Cell Analysis
y1::6,Skin Neoplasms
y1::6,Spindle Apparatus
y1::6,Squamous Cell Carcinoma of Head and Neck
y1::6,Stromal Cells
y1::6,Systems Biology
y1::6,T-Lymphocytes
y1::6,Transcription Factors
y1::6,"Translational Research, Biomedical"
y1::6,Tumor Microenvironment
y1::6,Vertebrates
y1::6,Voltage-Gated Sodium Channel Agonists
y1::6,Voltage-Gated Sodium Channel Blockers
y1::6,Voltage-Gated Sodium Channels
y1::6,WNK Lysine-Deficient Protein Kinase 1
y1::6,Wastewater
y1::7,"Adaptor Proteins, Signal Transducing"
y1::7,Adenocarcinoma
y1::7,Adenocarcinoma of Lung
y1::7,Alveolar Epithelial Cells
y1::7,Animals
y1::7,Arabidopsis
y1::7,Arabidopsis Proteins
y1::7,Bacteria
y1::7,Basic Helix-Loop-Helix Proteins
y1::7,Bioengineering
y1::7,Biofilms
y1::7,Biological Assay
y1::7,Biological Transport
y1::7,Biomechanical Phenomena
y1::7,Biomimetics
y1::7,Biophysics
y1::7,Biotechnology
y1::7,Blood Vessels
y1::7,Body Patterning
y1::7,CCAAT-Enhancer-Binding Protein-alpha
y1::7,CCAAT-Enhancer-Binding Proteins
y1::7,Calcium-Binding Proteins
y1::7,Carnitine
y1::7,Cell Communication
y1::7,Cell Cycle
y1::7,Cell Differentiation
y1::7,"Cell Line, Tumor"
y1::7,Cell Lineage
y1::7,Cell Movement
y1::7,Cell Plasticity
y1::7,Cell Polarity
y1::7,Cell Shape
y1::7,Cell Transdifferentiation
y1::7,Cellular Reprogramming
y1::7,Coleoptera
y1::7,Computational Biology
y1::7,Computer Simulation
y1::7,Database Management Systems
y1::7,Diffusion
y1::7,"Drug Resistance, Neoplasm"
y1::7,"Drug Screening Assays, Antitumor"
y1::7,"Embryo, Mammalian"
y1::7,Embryonic Stem Cells
y1::7,Epithelial-Mesenchymal Transition
y1::7,Erythrocytes
y1::7,Fibroblasts
y1::7,Gene Expression
y1::7,Gene Expression Profiling
y1::7,"Gene Expression Regulation, Neoplastic"
y1::7,"Gene Expression Regulation, Plant"
y1::7,Gene Regulatory Networks
y1::7,Gene Silencing
y1::7,Head and Neck Neoplasms
y1::7,High-Throughput Screening Assays
y1::7,Homeodomain Proteins
y1::7,Homeostasis
y1::7,Humans
y1::7,Hypoxia
y1::7,"Hypoxia-Inducible Factor 1, alpha Subunit"
y1::7,Immune System
y1::7,Immunity
y1::7,Indoleacetic Acids
y1::7,Lab-On-A-Chip Devices
y1::7,Lung
y1::7,Lung Neoplasms
y1::7,Lysophospholipase D
y1::7,Lysophospholipids
y1::7,Machine Learning
y1::7,Meristem
y1::7,Mesenchymal Stem Cells
y1::7,Mesoderm
y1::7,Metabolic Networks and Pathways
y1::7,Mice
y1::7,"Mice, Inbred C57BL"
y1::7,Microbiota
y1::7,Microfluidic Analytical Techniques
y1::7,Microfluidics
y1::7,"Models, Biological"
y1::7,"Models, Immunological"
y1::7,Morphogenesis
y1::7,Motion
y1::7,Multiple Sclerosis
y1::7,Neoplasms
y1::7,Nerve Tissue Proteins
y1::7,Neurodegenerative Diseases
y1::7,Neurons
y1::7,Nonlinear Dynamics
y1::7,Osteoporosis
y1::7,Oxygen
y1::7,POU Domain Factors
y1::7,Periodicity
y1::7,Phosphoric Diester Hydrolases
y1::7,Plant Growth Regulators
y1::7,Plant Roots
y1::7,Proteins
y1::7,Pulmonary Alveoli
y1::7,"Receptors, Lysophosphatidic Acid"
y1::7,"Receptors, Notch"
y1::7,Regeneration
