condition,comparison,comparison_label,metric_a,metric_b,spearman_rho,p_value,n_proposals
one_at_a_time,gpt,GPT,centroid_loo,medoid_dist,0.8280632411067194,1.0754337738217021e-06,23
one_at_a_time,gpt,GPT,centroid_loo,mst_dispersion,0.9100790513833993,1.7350925633305456e-09,23
one_at_a_time,gpt,GPT,centroid_loo,remote_clique,0.9407114624505929,2.5093672174275708e-11,23
one_at_a_time,gpt,GPT,centroid_loo,span90,0.8369565217391305,6.418384983525987e-07,23
one_at_a_time,gpt,GPT,centroid_loo,sparseness,0.8873517786561266,1.6678520364260622e-08,23
one_at_a_time,gpt,GPT,global_centroid_dist,medoid_dist,0.9347826086956521,6.648388758678471e-11,23
one_at_a_time,gpt,GPT,global_centroid_dist,mst_dispersion,0.8863636363636364,1.819821756977433e-08,23
one_at_a_time,gpt,GPT,global_centroid_dist,remote_clique,0.9822134387351777,9.745721849256444e-17,23
one_at_a_time,gpt,GPT,global_centroid_dist,span90,0.9683794466403162,3.8565010642989665e-14,23
one_at_a_time,gpt,GPT,global_centroid_dist,sparseness,1.0,0.0,23
one_at_a_time,gpt,GPT,mean_pairwise,centroid_loo,0.9407114624505929,2.5093672174275708e-11,23
one_at_a_time,gpt,GPT,mean_pairwise,global_centroid_dist,0.9822134387351777,9.745721849256444e-17,23
one_at_a_time,gpt,GPT,mean_pairwise,medoid_dist,0.9189723320158102,6.050839398792519e-10,23
one_at_a_time,gpt,GPT,mean_pairwise,mst_dispersion,0.908102766798419,2.1606631230534575e-09,23
one_at_a_time,gpt,GPT,mean_pairwise,nn,0.8893280632411068,1.3975049546636921e-08,23
one_at_a_time,gpt,GPT,mean_pairwise,remote_clique,1.0,0.0,23
one_at_a_time,gpt,GPT,mean_pairwise,span90,0.9407114624505929,2.5093672174275708e-11,23
one_at_a_time,gpt,GPT,mean_pairwise,sparseness,0.9822134387351777,9.745721849256444e-17,23
one_at_a_time,gpt,GPT,medoid_dist,mst_dispersion,0.9140316205533597,1.101726912534852e-09,23
one_at_a_time,gpt,GPT,medoid_dist,remote_clique,0.9189723320158102,6.050839398792519e-10,23
one_at_a_time,gpt,GPT,medoid_dist,span90,0.8646245059288538,1.0352344115447773e-07,23
one_at_a_time,gpt,GPT,medoid_dist,sparseness,0.9347826086956521,6.648388758678471e-11,23
one_at_a_time,gpt,GPT,mst_dispersion,remote_clique,0.908102766798419,2.1606631230534575e-09,23
one_at_a_time,gpt,GPT,mst_dispersion,sparseness,0.8863636363636364,1.819821756977433e-08,23
one_at_a_time,gpt,GPT,nn,centroid_loo,0.9120553359683794,1.3862822602287868e-09,23
one_at_a_time,gpt,GPT,nn,global_centroid_dist,0.8626482213438734,1.194476145665706e-07,23
one_at_a_time,gpt,GPT,nn,medoid_dist,0.8893280632411068,1.3975049546636921e-08,23
one_at_a_time,gpt,GPT,nn,mst_dispersion,0.9752964426877472,2.9762909743739418e-15,23
one_at_a_time,gpt,GPT,nn,remote_clique,0.8893280632411068,1.3975049546636921e-08,23
one_at_a_time,gpt,GPT,nn,span90,0.8023715415019764,4.112846982131555e-06,23
one_at_a_time,gpt,GPT,nn,sparseness,0.8626482213438734,1.194476145665706e-07,23
one_at_a_time,gpt,GPT,span90,mst_dispersion,0.8122529644268776,2.5147845233153664e-06,23
one_at_a_time,gpt,GPT,span90,remote_clique,0.9407114624505929,2.5093672174275708e-11,23
one_at_a_time,gpt,GPT,span90,sparseness,0.9683794466403162,3.8565010642989665e-14,23
one_at_a_time,gpt,GPT,sparseness,remote_clique,0.9822134387351777,9.745721849256444e-17,23
