article_idx,pmid,dominant_topic,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,topic_prob_6,topic_prob_7,topic_prob_8,topic_prob_9,topic_prob_10,topic_prob_11,topic_prob_12,topic_prob_13,topic_prob_14
61,25228926,13,0.0007606336148455739,0.0007606198196299374,0.0007605312275700271,0.03136911615729332,0.0007606130675412714,0.28833603858947754,0.0007606096914969385,0.0007609195308759809,0.0007605606806464493,0.0007605767459608614,0.07387810945510864,0.0007606507278978825,0.0007606903673149645,0.5980497598648071,0.0007605470600537956
62,25198773,5,0.0007844810606911778,0.0007844388019293547,0.08716771006584167,0.0007843819912523031,0.0007845382206141949,0.5699968934059143,0.0007844773354008794,0.028121430426836014,0.24035333096981049,0.055700380355119705,0.0007844612118788064,0.011600139550864697,0.0007844524225220084,0.0007843988132663071,0.0007844797801226377
63,25198066,3,0.0762958973646164,0.049907151609659195,0.00103647424839437,0.547098696231842,0.0010365217458456755,0.0010365212801843882,0.0010365585330873728,0.0010363897308707237,0.0010363683104515076,0.31529706716537476,0.0010364840272814035,0.0010366067290306091,0.0010365225607529283,0.0010363946203142405,0.0010363304754719138
64,25188507,11,0.10551916807889938,0.0009760906687006354,0.0009757018997333944,0.06576736271381378,0.0009757531224749982,0.0009757789666764438,0.04944236949086189,0.0009757394436746836,0.0009757235529832542,0.0009757339139468968,0.0009756854269653559,0.3588133156299591,0.050648726522922516,0.3333534300327301,0.028649428859353065
65,25181487,9,0.06299548596143723,0.0007663502474315464,0.00076633709250018,0.025395765900611877,0.0007665138691663742,0.0007665349403396249,0.0007665732409805059,0.0007663767319172621,0.0007664155564270914,0.3750664293766022,0.2816907465457916,0.0007664706790819764,0.0007664358709007502,0.24718713760375977,0.0007664161967113614
66,25183937,12,0.0018353816121816635,0.0018350564641878009,0.001835668459534645,0.0018350959289819002,0.0018353413324803114,0.001835016766563058,0.0018353433115407825,0.18112562596797943,0.0018352726474404335,0.0018354349303990602,0.0018353054765611887,0.22760137915611267,0.34074127674102783,0.230343759059906,0.001835049013607204
67,25035580,13,0.001290645101107657,0.0012905016774311662,0.001290493761189282,0.001290505169890821,0.0012905558105558157,0.0012904901523143053,0.0012906063348054886,0.0012906354386359453,0.24673715233802795,0.001290456741116941,0.0012905220501124859,0.03542935103178024,0.07109727710485458,0.6325400471687317,0.0012907434720546007
68,24491506,3,0.0010814504930749536,0.0010812078835442662,0.00108146364800632,0.47961071133613586,0.06619782745838165,0.0010812005493789911,0.0010812366381287575,0.0010814103297889233,0.0010813698172569275,0.03301144391298294,0.40928488969802856,0.00108140183147043,0.0010815199930220842,0.0010815417626872659,0.0010813323315232992
69,24485945,10,0.19015176594257355,0.0013795209815725684,0.2706574499607086,0.0013794873375445604,0.1407943069934845,0.0013796602142974734,0.001379809225909412,0.0013794808182865381,0.0013795660343021154,0.001379778841510415,0.3832205533981323,0.0013799428706988692,0.0013796695275232196,0.0013795503182336688,0.0013794390251860023
70,23915130,13,0.21522390842437744,0.0009853887604549527,0.000985517050139606,0.0009853646624833345,0.0009854526724666357,0.24128520488739014,0.0009854333475232124,0.0009854146046563983,0.0009853944648057222,0.08311335742473602,0.000985443126410246,0.06078192964196205,0.0777054950594902,0.31302139163017273,0.0009853088995441794
71,25197261,1,0.0007382393232546747,0.49158281087875366,0.015767458826303482,0.0975995808839798,0.0007381984032690525,0.29744088649749756,0.0007381603354588151,0.00073810521280393,0.000738111964892596,0.0007381617906503379,0.0007381978211924434,0.000738107948563993,0.0007381092291325331,0.09022776782512665,0.0007380934548564255
