proposal_uid,source_group,char_len,word_count,sentence_count,avg_sentence_len,type_token_ratio,comma_rate,digit_rate,uppercase_rate
baseline::gpt-5.2::11,GPT,1837,242,13,18.615384615384617,0.6652892561983471,0.0,0.0,0.015786608600979857
baseline::gpt-5.2::12,GPT,1861,251,13,19.307692307692307,0.6733067729083665,0.0,0.0,0.013970983342289092
baseline::gpt-5.2::13,GPT,1781,231,12,19.25,0.6753246753246753,0.0,0.0,0.015160022459292532
baseline::gpt-5.2::14,GPT,1860,256,13,19.692307692307693,0.6484375,0.0,0.0,0.013978494623655914
baseline::gpt-5.2::15,GPT,1832,241,13,18.53846153846154,0.6846473029045643,0.0,0.001091703056768559,0.013100436681222707
baseline::gpt-5.2::16,GPT,1561,208,11,18.90909090909091,0.6778846153846154,0.0,0.0025624599615631004,0.01729660474055093
baseline::gpt-5.2::17,GPT,1992,255,13,19.615384615384617,0.6784313725490196,0.0,0.001004016064257028,0.012048192771084338
baseline::gpt-5.2::18,GPT,1851,242,13,18.615384615384617,0.6983471074380165,0.0,0.0,0.014586709886547812
baseline::gpt-5.2::19,GPT,1809,236,13,18.153846153846153,0.6694915254237288,0.0,0.001105583195135434,0.016030956329463792
baseline::gpt-5.2::20,GPT,1888,247,13,19.0,0.6558704453441295,0.0,0.001059322033898305,0.011652542372881356
baseline::gpt-5.2::21,GPT,1843,260,13,20.0,0.6192307692307693,0.0,0.0,0.020075963103635377
baseline::gpt-5.2::22,GPT,1868,246,13,18.923076923076923,0.7032520325203252,0.0,0.0,0.01980728051391863
baseline::gpt-5.2::23,GPT,1864,249,13,19.153846153846153,0.6666666666666666,0.0,0.001072961373390558,0.015021459227467811
baseline::gemini-3-pro-preview::01,Gemini,1714,230,12,19.166666666666668,0.6695652173913044,0.0,0.0011668611435239206,0.025670945157526253
baseline::gemini-3-pro-preview::02,Gemini,1825,239,13,18.384615384615383,0.6569037656903766,0.0,0.0016438356164383563,0.0263013698630137
baseline::gemini-3-pro-preview::03,Gemini,1774,243,13,18.692307692307693,0.5555555555555556,0.0,0.0,0.018602029312288614
baseline::gemini-3-pro-preview::04,Gemini,1818,254,13,19.53846153846154,0.6850393700787402,0.0,0.0,0.02695269526952695
baseline::gemini-3-pro-preview::05,Gemini,1779,232,13,17.846153846153847,0.6939655172413793,0.0,0.0,0.012366498032602586
baseline::gemini-3-pro-preview::06,Gemini,1626,221,13,17.0,0.6289592760180995,0.0,0.0036900369003690036,0.01783517835178352
baseline::gemini-3-pro-preview::07,Gemini,1964,254,13,19.53846153846154,0.6811023622047244,0.0,0.0,0.024439918533604887
baseline::gemini-3-pro-preview::08,Gemini,1831,237,13,18.23076923076923,0.70042194092827,0.0,0.0,0.017476788640087382
baseline::gemini-3-pro-preview::09,Gemini,1780,241,13,18.53846153846154,0.6431535269709544,0.0,0.0,0.02752808988764045
