condition,comparison,comparison_label,metric,metric_class,subset_label,n_proposals,human_metric_mean,ai_metric_mean,effect_human_minus_ai_mean,effect_human_minus_ai_median,ai_to_human_ratio_mean,wilcoxon_statistic,p_value,paired_rank_biserial
baseline,gpt,GPT,mst_dispersion,exploratory,all_proposals,23,0.029076105442599975,0.03436969298383464,-0.005293587541234667,-0.008234532674153642,1.182059717443414,42.0,0.0024156570434570312,-0.4782608695652174
baseline,gpt,GPT,nn,confirmatory,all_proposals,23,0.02747537951538528,0.03292061431684356,-0.005445234801458277,-0.007426909605662026,1.198185972223209,41.0,0.0021359920501708984,-0.4782608695652174
baseline,gpt,GPT,remote_clique,compatibility,all_proposals,23,0.034286664275155546,0.04077729505041371,-0.006490630775258163,-0.009018174807230626,1.1893048190156352,48.0,0.004851341247558594,-0.4782608695652174
baseline,gpt,GPT,span90,exploratory,all_proposals,23,0.01560539749800454,0.018538127415292555,-0.0029327299172880136,-0.003296179548002544,1.1879304847994434,61.0,0.01787281036376953,-0.4782608695652174
baseline,gpt,GPT,sparseness,exploratory,all_proposals,23,0.012411505396373668,0.01477076360267958,-0.0023592582063059124,-0.003433897099976175,1.190086386055573,51.0,0.006710529327392578,-0.4782608695652174
baseline,all_ai,All AI,centroid_loo,exploratory,human_n_gte_3,22,0.024106057059707527,0.033143910232008765,-0.00903785317230124,-0.009149899575819565,1.3749204255974201,8.0,1.1920928955078125e-05,-0.8181818181818182
baseline,all_ai,All AI,global_centroid_dist,exploratory,human_n_gte_3,22,0.01267246220783912,0.017549873273298468,-0.004877411065459352,-0.00473450949235058,1.3848826680613187,7.0,9.059906005859375e-06,-0.8181818181818182
baseline,all_ai,All AI,mean_pairwise,confirmatory,human_n_gte_3,22,0.03463639662121281,0.047673822481394845,-0.01303742586018203,-0.012423473312741233,1.3764082621746327,8.0,1.1920928955078125e-05,-0.8181818181818182
baseline,all_ai,All AI,medoid_dist,exploratory,human_n_gte_3,22,0.02187824443434224,0.030433996854476786,-0.008555752420134545,-0.008367263304663227,1.3910621094764164,7.0,9.059906005859375e-06,-0.9090909090909091
baseline,all_ai,All AI,mst_dispersion,exploratory,human_n_gte_3,22,0.029188994205359257,0.04019262330969208,-0.011003629104332814,-0.011439132992455662,1.3769787004963843,5.0,4.76837158203125e-06,-0.9090909090909091
baseline,all_ai,All AI,nn,confirmatory,human_n_gte_3,22,0.027515508008725712,0.03785650025682951,-0.010340992248103788,-0.010675031830976296,1.3758241441453476,9.0,1.5735626220703125e-05,-0.9090909090909091
baseline,all_ai,All AI,remote_clique,compatibility,human_n_gte_3,22,0.03463639662121281,0.047673822481394845,-0.01303742586018203,-0.012423473312741233,1.3764082621746327,8.0,1.1920928955078125e-05,-0.8181818181818182
baseline,all_ai,All AI,span90,exploratory,human_n_gte_3,22,0.016011531223180483,0.02160552610500361,-0.005593994881823131,-0.005526882322367237,1.349372886568431,20.0,0.00017690658569335938,-0.6363636363636364
baseline,all_ai,All AI,sparseness,exploratory,human_n_gte_3,22,0.01267246220783912,0.017549873273298468,-0.004877411065459352,-0.00473450949235058,1.3848826680613187,7.0,9.059906005859375e-06,-0.8181818181818182
baseline,claude,Claude,centroid_loo,exploratory,human_n_gte_3,22,0.024106057059707527,0.035301106147869625,-0.011195049088162101,-0.011234563185661038,1.464408138603233,4.0,3.337860107421875e-06,-0.8181818181818182
baseline,claude,Claude,global_centroid_dist,exploratory,human_n_gte_3,22,0.01267246220783912,0.018633758139501386,-0.005961295931662267,-0.006054221990036418,1.4704133919590339,5.0,4.76837158203125e-06,-0.8181818181818182
baseline,claude,Claude,mean_pairwise,confirmatory,human_n_gte_3,22,0.03463639662121281,0.05066826099699193,-0.016031864375779123,-0.016476154327392578,1.4628617852805312,5.0,4.76837158203125e-06,-0.8181818181818182
baseline,claude,Claude,medoid_dist,exploratory,human_n_gte_3,22,0.02187824443434224,0.03249820646914569,-0.010619962034803448,-0.010614656905333199,1.485411983885385,3.0,2.384185791015625e-06,-0.8181818181818182
