cohort,proposal_key,proposal_uid,proposal_title,source_family,metric_name,metric_value
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,mst_dispersion,0.027155011892318726
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,sparseness,0.009740193374454975
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,ai_all,global_centroid_dist,0.013084213249385357
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,mean_pairwise,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,nn,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,centroid_loo,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,medoid_dist,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,remote_clique,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,span90,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,mst_dispersion,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,sparseness,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,claude,global_centroid_dist,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,mean_pairwise,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,nn,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,centroid_loo,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,medoid_dist,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,remote_clique,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,span90,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,mst_dispersion,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,sparseness,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gemini,global_centroid_dist,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,mean_pairwise,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,nn,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,centroid_loo,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,medoid_dist,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,remote_clique,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,span90,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,mst_dispersion,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,sparseness,
Y1,Y1_05,human-y1::2,Elucidating genome structure-function relationships in human brain cells,gpt,global_centroid_dist,
Y1,Y1_06,human-y1::3,MaiTool - LLM-powered bioinformatics tools for microbiome analysis,human,mean_pairwise,0.03403462842106819
