condition,task,text_version,field,comparison,facet,metric,is_primary,param,human_value,ai_value,effect_size,effect_type,ci_lo,ci_hi,human_ci_lo,human_ci_hi,inference,stat,p_raw,p_fdr,n_human,n_ai,n_perm_or_sub,parity_ref,notes,ratio,log2ratio,z_generation,delta_filtering_aligned
baseline,proposals,rephrased,whole,human_vs_gemini,dimensionality,effective_rank,False,,3.501290032748188,3.4455895336295947,0.0557004991185934,diff,3.3003919022277852,3.609625328014768,3.3077862650788012,3.5099323884581257,permutation,0.0557004991185934,0.8457154284571543,1.0,23.0,23.0,10000.0,1.0,,0.9840914352716807,-0.02313572740762927,,
baseline,proposals,rephrased,whole,human_vs_gemini,evenness,ripley_excess,True,r=pooled_q01_q50,-0.1405678855168149,-0.0068548251308321,-0.0068548251308321,envelope_area,,,,,global_envelope,1.1144187665926846,0.847,,23.0,23.0,999.0,1.0,AI excess short-range mass vs pooled-cloud null (M=999); human excess = -0.1406 (env p = 0.038); simultaneous envelope,0.048765229025317575,-4.358003357409304,0.1106164586568096,0.8260869565217391
baseline,proposals,rephrased,whole,human_vs_gpt,spread,mean_pairwise,True,,0.4155695849880353,0.3222316173058016,1.289661109181769,ratio,0.2944695286843487,0.3319572703448039,0.4012087063942636,0.4244026554443236,permutation,0.0933379676822337,0.2125787421257874,,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7753975000722898,-0.3669920111254859,-0.0831038126844721,0.5652173913043478
baseline,proposals,rephrased,whole,human_vs_gpt,spread,centroid_loo,False,,0.6401212825939969,0.5184154987321653,1.2347649407849008,ratio,0.4816617438956474,0.5321667875506578,0.6227398863258421,0.6518210076306633,permutation,0.1217057838618316,0.2097790220977902,0.3793875931555781,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.8098707429807099,-0.30423642558282743,,
baseline,proposals,rephrased,whole,human_vs_gpt,spread,mst_dispersion,False,,0.1100744023764908,0.0769289155857168,1.4308586249840236,ratio,0.0745103554078702,0.0799820975709268,0.1054820941092839,0.1145076918035611,permutation,0.0331454867907739,0.0380961903809619,0.1199324511993245,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.6988810652143675,-0.516881134601102,,
baseline,proposals,rephrased,whole,human_vs_gpt,spread,sparseness,False,,0.3227153705432489,0.2194830831182615,1.4703427979885082,ratio,0.1953688000675606,0.2290681645085971,0.3019843408641747,0.3364886241253028,permutation,0.1032322874249874,0.2156784321567843,0.3819305569443055,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.680113509154493,-0.5561525464243245,,
baseline,proposals,rephrased,whole,human_vs_gpt,spread,nn_isolation,False,,0.0819824697359005,0.048103533301,1.7042920573611198,ratio,0.0444846630273866,0.0498437825235857,0.076321996724449,0.0850806649798761,permutation,0.0338789364349004,0.0287971202879712,0.0972054261527945,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.5867538933135512,-0.7691725853301942,,
baseline,proposals,rephrased,whole,human_vs_gpt,spread,spherical_variance,False,,0.2237921297503281,0.1682677997024267,1.3299759677495837,ratio,0.1521111884861477,0.1734821868166119,0.2144889596804984,0.2287099285508197,permutation,0.0555243300479013,0.2128787121287871,0.3819305569443055,23.0,23.0,10000.0,1.0,"spread facet; ci = 95% jackknife (AI group), human_ci = 95% jackknife (Human)",0.7518932854794907,-0.4114001769131239,,
baseline,proposals,rephrased,whole,human_vs_gpt,richness,vendi,False,q=0,23.0,23.0,1.0,ratio,22.0,22.0,22.0,22.0,permutation,0.0,1.0,1.0,23.0,23.0,10000.0,1.0,,1.0,0.0,,
baseline,proposals,rephrased,whole,human_vs_gpt,richness,vendi,True,q=1,3.148932867702901,2.376997914014063,1.3247520534779362,ratio,2.2251980496309516,2.4144624560155745,2.993314374730022,3.202503131029318,permutation,0.771934953688838,0.1437856214378562,,23.0,23.0,10000.0,1.0,,0.7548582373393203,-0.4057223636825426,-0.5237757974814934,0.5652173913043478
baseline,proposals,rephrased,whole,human_vs_gpt,richness,vendi,False,q=2,2.122356380956793,1.69333189903512,1.2533611291242646,ratio,1.6000540591602883,1.72553469886127,2.040587145615147,2.167987477239411,permutation,0.4290244819216731,0.2093790620937906,0.3793875931555781,23.0,23.0,10000.0,1.0,,0.7978546460098931,-0.3258021561858037,,
baseline,proposals,rephrased,whole,human_vs_gpt,richness,vendi,False,q=1;kernel=rbf;sigma=0.5x_median,12.512244857829984,7.699866341692153,1.62499507167812,ratio,,,,,permutation,4.812378516137831,0.0372962703729627,0.1188818618138186,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.6153864817370231,-0.7004353427095119,,
baseline,proposals,rephrased,whole,human_vs_gpt,richness,vendi,False,q=1;kernel=rbf;sigma=1.0x_median,5.023440852159387,3.351253706036253,1.498973605940727,ratio,,,,,permutation,1.6721871461231346,0.0961903809619038,0.2275647435256474,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.6671231541614898,-0.5839749804080772,,
baseline,proposals,rephrased,whole,human_vs_gpt,richness,vendi,False,q=1;kernel=rbf;sigma=2.0x_median,2.257672832639322,1.8578974274772264,1.2151762520630305,ratio,,,,,permutation,0.3997754051620952,0.1522847715228477,0.2964321888421845,23.0,23.0,10000.0,1.0,RBF kernel-sensitivity robustness pass (spec 1.9),0.8229258910403152,-0.2811655809387489,,
baseline,proposals,rephrased,whole,human_vs_gpt,evenness,vendi_slope,False,q=0..2,0.907723635610574,0.9263768739549948,0.0186532383444206,diff,0.921566604597215,0.9272702700381688,0.901455114670936,0.9072460388356752,permutation,-0.0186532383444206,0.2093790620937906,0.3793875931555781,23.0,23.0,10000.0,1.0,relative VS0->VS2 drop (spec 4.2); larger = few dominant modes = less even; effect = AI - Human,1.0205494685966547,0.029346115118647854,,
baseline,proposals,rephrased,whole,human_vs_gpt,coverage,coverage_geometric,False,k=2,0.8181818181818182,0.7391304347826086,0.7391304347826086,coverage,0.3636363636363636,1.0,,,split_half_reference,0.7391304347826086,0.4065934065934066,0.5574264445232188,23.0,23.0,1000.0,0.8181818181818182,density=1.065; human_value = median human split-half coverage (parity ref); ci = split-half band,0.9033816425120772,-0.14659249761168872,,
baseline,proposals,rephrased,whole,human_vs_gpt,coverage,coverage_geometric,True,k=3,1.0,0.8695652173913043,0.8695652173913043,coverage,0.5454545454545454,1.0,,,split_half_reference,0.8695652173913043,0.2447552447552447,,23.0,23.0,1000.0,1.0,density=1.087; human_value = median human split-half coverage (parity ref); ci = split-half band,0.8695652173913043,-0.20163386116965057,-0.2950921964928065,
baseline,proposals,rephrased,whole,human_vs_gpt,coverage,coverage_geometric,False,k=5,1.0,0.9565217391304348,0.9565217391304348,coverage,0.8181818181818182,1.0,,,split_half_reference,0.9565217391304348,0.0619380619380619,0.1659990250974902,23.0,23.0,1000.0,1.0,density=1.243; human_value = median human split-half coverage (parity ref); ci = split-half band,0.9565217391304348,-0.06413033741971558,,
baseline,proposals,rephrased,whole,human_vs_gpt,dimensionality,participation_ratio,True,,1.7704070953838629,1.5264300408588638,0.2439770545249988,diff,1.501313163807822,1.5637049238031937,1.7133183113671713,1.7892900883027878,permutation,0.2439770545249988,0.0196980301969803,,23.0,23.0,10000.0,1.0,,0.8621915517842524,-0.21391966860231426,-1.8309609839617689,-0.5454545454545454
baseline,proposals,rephrased,whole,human_vs_gpt,dimensionality,effective_rank,False,,3.501290032748188,2.7117336697872836,0.7895563629609046,diff,2.6357986136587432,2.795835057544475,3.3077862650788012,3.5099323884581257,permutation,0.7895563629609046,0.0060993900609939,0.0338118362076835,23.0,23.0,10000.0,1.0,,0.7744955843200525,-0.36867108117622754,,
baseline,proposals,rephrased,whole,human_vs_gpt,evenness,ripley_excess,True,r=pooled_q01_q50,-0.1405678855168149,0.1305727305763472,0.1305727305763472,envelope_area,,,,,global_envelope,6.125342734038393,0.019,,23.0,23.0,999.0,1.0,AI excess short-range mass vs pooled-cloud null (M=999); human excess = -0.1406 (env p = 0.038); simultaneous envelope,-0.9288944633141538,,-2.1070549252292476,0.5652173913043478
baseline,proposals,rephrased,whole,human_vs_pooled_ai,spread,mean_pairwise,True,,0.4155695849880353,0.2925660303706595,1.420430063126397,ratio,0.1598279398616023,0.3953007076609982,,,same_size_subsample,0.1230035546173757,0.0099900099900099,,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.7040121340426845,-0.5063278001549808,-0.5577777607210862,0.7391304347826086
baseline,proposals,rephrased,whole,human_vs_pooled_ai,spread,centroid_loo,False,,0.6401212825939969,0.4764229712763217,1.343598695250006,ratio,0.3160892421683464,0.610342802799861,,,same_size_subsample,0.1636983113176751,0.0079920079920079,0.0391915776531161,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.7442698504659743,-0.4261022997046531,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,spread,mst_dispersion,False,,0.1100744023764908,0.084076120765068,1.3092231346409196,ratio,0.0677136796073584,0.1007545609744371,,,same_size_subsample,0.0259982816114228,0.0009990009990009,0.0082249839532175,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.7638117396040899,-0.38871100087817184,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,spread,sparseness,False,,0.3227153705432489,0.1950078835432745,1.654883713825009,ratio,0.0994285325644782,0.2917084751305848,,,same_size_subsample,0.1277074869999744,0.0099900099900099,0.0468225904682259,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.6042720655511523,-0.7267298445961429,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,spread,nn_isolation,False,,0.0819824697359005,0.0556815307463022,1.472345832398742,ratio,0.0418117103032956,0.0720191992742689,,,same_size_subsample,0.0263009389895982,0.0009990009990009,0.0082249839532175,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.6791882572661629,-0.5581165790622582,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,spread,spherical_variance,False,,0.2237921297503281,0.1520502177579076,1.4718303797936487,ratio,0.0796081807185424,0.2114023336252284,,,same_size_subsample,0.0717419119924205,0.0099900099900099,0.0468225904682259,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.679426117118333,-0.5576114184528486,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,richness,vendi,False,q=0,23.0,23.0,1.0,ratio,23.0,23.0,,,same_size_subsample,0.0,1.0,1.0,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),1.0,0.0,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,richness,vendi,True,q=1,3.148932867702901,2.3355427574423033,1.3482659898512654,ratio,1.767019234351127,2.917832804502491,,,same_size_subsample,0.8133901102605976,0.0049950049950049,,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.741693410296818,-0.4311051436888835,-0.6470399369588522,0.7391304347826086
baseline,proposals,rephrased,whole,human_vs_pooled_ai,richness,vendi,False,q=2,2.122356380956793,1.617855579279363,1.3118330264696114,ratio,1.277320617684943,1.99094435325386,,,same_size_subsample,0.5045008016774302,0.0069930069930069,0.0356643356643356,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.7622921361350289,-0.3915841016524336,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,evenness,vendi_slope,False,q=0..2,0.907723635610574,0.9296584530748104,-0.0219348174642362,diff,0.9134372020324408,0.9444643209702198,,,same_size_subsample,-0.0219348174642362,0.0069930069930069,0.0356643356643356,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),1.024164642853529,0.03444765902431962,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,dimensionality,participation_ratio,True,,1.7704070953838629,1.722441141240329,0.0479659541435333,diff,1.5566905477623372,2.050179388391145,,,same_size_subsample,0.0479659541435333,0.2717282717282717,,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.9729068222395857,-0.039626453837684275,-0.1584169025530003,-0.8181818181818182
baseline,proposals,rephrased,whole,human_vs_pooled_ai,dimensionality,effective_rank,False,,3.501290032748188,3.287996394974514,0.213293637773674,diff,2.836833960761266,4.1986924540733215,,,same_size_subsample,0.213293637773674,0.1858141858141858,0.3484015984015984,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),0.9390814140563333,-0.0906778565357354,,
baseline,proposals,rephrased,whole,human_vs_pooled_ai,evenness,ripley_excess,True,r=pooled_q01_q50,-0.1405678855168149,0.0765234587999043,0.0765234587999043,envelope_area,-0.0454557436486107,0.1958839384181587,,,same_size_subsample,-0.2170913443167192,0.0009990009990009,,23.0,23.0,1000.0,1.0,pooled All-AI without-replacement subsample to n=23 (AI n=23 subsampled from 69),-0.5443879198904964,,-1.2348606791648398,0.8260869565217391
